id_lot;nb_piece;typologie;prix_tva_reduite;prix_tva_normale;prix_HT;prix_m2_HT;prix_m2_TTC;surface;etage;orientation;exterieur;balcony;garden;parking;nom_programme;ville;departement;date_fin_programme;adresse_entiere;promoteur;date_extraction
103_6_CtSud_Bouygues;5;Appartement;350788;399000.5687;332500.47;3206.37;3847.64;103.7;6;Traversant;FALSE;TRUE;FALSE;1;Ct Sud;Clermont-Ferrand;63;novembre 2023;88 RUE DE LA GANTIERE 63000 Clermont-Ferrand;Bouygues;08/11/2021
105_6_CtSud_Bouygues;5;Appartement;378042;430000.3791;358333.65;3401.36;4081.64;105.35;6;SO;FALSE;TRUE;FALSE;1;Ct Sud;Clermont-Ferrand;63;novembre 2023;88 RUE DE LA GANTIERE 63000 Clermont-Ferrand;Bouygues;08/11/2021
72_6_PRISMEBtimentF_Bouygues;3;Appartement;;302300;251916.67;3494.96;4193.95;72.08;6;NE;FALSE;FALSE;FALSE;1;PRISME Btiment F;Clermont-Ferrand;63;novembre 2022;131 BOULEVARD LAFAYETTE 63000 Clermont-Ferrand;Bouygues;08/11/2021
71_6_PRISMEBtimentF_Bouygues;3;Appartement;;304100;253416.67;3561.22;4273.47;71.16;6;N;FALSE;FALSE;FALSE;1;PRISME Btiment F;Clermont-Ferrand;63;novembre 2022;131 BOULEVARD LAFAYETTE 63000 Clermont-Ferrand;Bouygues;08/11/2021
85_5_PRISMEBtimentF_Bouygues;4;Appartement;;376500;313750;3662.31;4394.77;85.67;5;NE;FALSE;FALSE;FALSE;1;PRISME Btiment F;Clermont-Ferrand;63;novembre 2022;131 BOULEVARD LAFAYETTE 63000 Clermont-Ferrand;Bouygues;08/11/2021
85_5__1_PRISMEBtimentF_Bouygues;4;Appartement;;378600;315500;3687.04;4424.45;85.57;5;SO;FALSE;FALSE;FALSE;1;PRISME Btiment F;Clermont-Ferrand;63;novembre 2022;131 BOULEVARD LAFAYETTE 63000 Clermont-Ferrand;Bouygues;08/11/2021
66_L'ARC_Bouygues;3;Appartement;;366000;305000;4610.73;5532.88;66.15;0;SO;FALSE;FALSE;FALSE;1;L'ARC;LaTour-de-Salvagny;69;novembre 2023;8 RUE DE LA MAIRIE 69890 La Tour-de-Salvagny;Bouygues;08/11/2021
64_1_L'ARC_Bouygues;3;Appartement;;375000;312500;4871.4;5845.67;64.15;1;O;FALSE;FALSE;FALSE;1;L'ARC;LaTour-de-Salvagny;69;novembre 2023;8 RUE DE LA MAIRIE 69890 La Tour-de-Salvagny;Bouygues;08/11/2021
66_1_L'ARC_Bouygues;3;Appartement;;378000;315000;4766.95;5720.34;66.08;1;SO;FALSE;FALSE;FALSE;1;L'ARC;LaTour-de-Salvagny;69;novembre 2023;8 RUE DE LA MAIRIE 69890 La Tour-de-Salvagny;Bouygues;08/11/2021
64_2_L'ARC_Bouygues;3;Appartement;;384000;320000;4988.31;5985.97;64.15;2;O;FALSE;FALSE;FALSE;1;L'ARC;LaTour-de-Salvagny;69;novembre 2023;8 RUE DE LA MAIRIE 69890 La Tour-de-Salvagny;Bouygues;08/11/2021
66_2_L'ARC_Bouygues;3;Appartement;;389000;324166.67;4905.67;5886.8;66.08;2;SO;FALSE;FALSE;FALSE;1;L'ARC;LaTour-de-Salvagny;69;novembre 2023;8 RUE DE LA MAIRIE 69890 La Tour-de-Salvagny;Bouygues;08/11/2021
65_L'ARC_Bouygues;3;Appartement;;398000;331666.67;5030.59;6036.71;65.93;0;SO;FALSE;FALSE;FALSE;1;L'ARC;LaTour-de-Salvagny;69;novembre 2023;8 RUE DE LA MAIRIE 69890 La Tour-de-Salvagny;Bouygues;08/11/2021
93_1_L'ARC_Bouygues;4;Appartement;;510000;425000;4546.43;5455.71;93.48;1;SO;FALSE;FALSE;FALSE;1;L'ARC;LaTour-de-Salvagny;69;novembre 2023;8 RUE DE LA MAIRIE 69890 La Tour-de-Salvagny;Bouygues;08/11/2021
93_2_L'ARC_Bouygues;4;Appartement;;519000;432500;4626.66;5551.99;93.48;2;SO;FALSE;FALSE;FALSE;1;L'ARC;LaTour-de-Salvagny;69;novembre 2023;8 RUE DE LA MAIRIE 69890 La Tour-de-Salvagny;Bouygues;08/11/2021
84_Autourd'unjardin_Bouygues;4;Maison;;332999;277499.17;3277.81;3933.37;84.66;;O;FALSE;FALSE;FALSE;1;Autour d'un jardin;Saint-Pierre-en-Faucigny;74;aout 2022;405 rue de blansin 74800 Saint-Pierre-en-Faucigny;Bouygues;08/11/2021
84_2_Autourd'unjardin_Bouygues;4;Appartement;;332999;277499.17;3286.35;3943.62;84.44;2;O;FALSE;FALSE;FALSE;1;Autour d'un jardin;Saint-Pierre-en-Faucigny;74;aout 2022;405 rue de blansin 74800 Saint-Pierre-en-Faucigny;Bouygues;08/11/2021
84__1_Autourd'unjardin_Bouygues;4;Maison;;332999;277499.17;3285.57;3942.68;84.46;;O;FALSE;FALSE;FALSE;1;Autour d'un jardin;Saint-Pierre-en-Faucigny;74;aout 2022;405 rue de blansin 74800 Saint-Pierre-en-Faucigny;Bouygues;08/11/2021
84_1_Autourd'unjardin_Bouygues;4;Appartement;;332999;277499.17;3285.57;3942.68;84.46;1;O;FALSE;FALSE;FALSE;1;Autour d'un jardin;Saint-Pierre-en-Faucigny;74;aout 2022;405 rue de blansin 74800 Saint-Pierre-en-Faucigny;Bouygues;08/11/2021
91_Autourd'unjardin_Bouygues;4;Maison;;352999;294165.83;3232.24;3878.68;91.01;;O;FALSE;FALSE;FALSE;1;Autour d'un jardin;Saint-Pierre-en-Faucigny;74;aout 2022;405 rue de blansin 74800 Saint-Pierre-en-Faucigny;Bouygues;08/11/2021
91__1_Autourd'unjardin_Bouygues;4;Maison;;352999;294165.83;3224.09;3868.91;91.24;;O;FALSE;FALSE;FALSE;1;Autour d'un jardin;Saint-Pierre-en-Faucigny;74;aout 2022;405 rue de blansin 74800 Saint-Pierre-en-Faucigny;Bouygues;08/11/2021
43_1_L'AuroredesRossignols_Bouygues;2;Appartement;;139000;115833.33;2647.01;3176.42;43.76;1;SE;FALSE;TRUE;FALSE;0;L'Aurore des Rossignols;Saint-Ã‰tienne-de-Crossey;38;novembre 2023;ROUTE DE SAINT NICOLAS 38960 Saint-Ã‰tienne-de-Crossey;Bouygues;08/11/2021
45_1_L'AuroredesRossignols_Bouygues;2;Appartement;;152500;127083.33;2820.94;3385.13;45.05;1;SE;FALSE;FALSE;FALSE;1;L'Aurore des Rossignols;Saint-Ã‰tienne-de-Crossey;38;novembre 2023;ROUTE DE SAINT NICOLAS 38960 Saint-Ã‰tienne-de-Crossey;Bouygues;08/11/2021
69_1_L'AuroredesRossignols_Bouygues;3;Appartement;;190000;158333.33;2272.29;2726.75;69.68;1;NO;FALSE;TRUE;FALSE;0;L'Aurore des Rossignols;Saint-Ã‰tienne-de-Crossey;38;novembre 2023;ROUTE DE SAINT NICOLAS 38960 Saint-Ã‰tienne-de-Crossey;Bouygues;08/11/2021
79_L'AuroredesRossignols_Bouygues;4;Appartement;;235000;195833.33;2465.17;2958.21;79.44;0;SE;TRUE;FALSE;FALSE;0;L'Aurore des Rossignols;Saint-Ã‰tienne-de-Crossey;38;novembre 2023;ROUTE DE SAINT NICOLAS 38960 Saint-Ã‰tienne-de-Crossey;Bouygues;08/11/2021
86_L'AuroredesRossignols_Bouygues;4;Maison;;265000;220833.33;2541.82;3050.18;86.88;;NO;FALSE;FALSE;TRUE;0;L'Aurore des Rossignols;Saint-Ã‰tienne-de-Crossey;38;novembre 2023;ROUTE DE SAINT NICOLAS 38960 Saint-Ã‰tienne-de-Crossey;Bouygues;08/11/2021
105_L'AuroredesRossignols_Bouygues;5;Maison;;395000;329166.67;3115.63;3738.76;105.65;;SE;FALSE;FALSE;TRUE;0;L'Aurore des Rossignols;Saint-Ã‰tienne-de-Crossey;38;novembre 2023;ROUTE DE SAINT NICOLAS 38960 Saint-Ã‰tienne-de-Crossey;Bouygues;08/11/2021
44_1_InspiR'_Bouygues;2;Appartement;;175000;145833.33;3310.63;3972.76;44.05;1;NO;FALSE;TRUE;FALSE;1;InspiR';DomÃ¨ne;38;fevrier 2024;83 rue des brassiÃ¨res 38420 DomÃ¨ne;Bouygues;08/11/2021
63_1_InspiR'_Bouygues;3;Appartement;;227000;189166.67;2976.66;3571.99;63.55;1;SO;FALSE;TRUE;FALSE;0;InspiR';DomÃ¨ne;38;fevrier 2024;83 rue des brassiÃ¨res 38420 DomÃ¨ne;Bouygues;08/11/2021
